Current	Voltage	Int_Temp	Ext_Temp	H_Temp	Dt_cycle	Wor_State	Short_cir	over_load	Ovr_Heat	Blk_Shaft	total_faults	Power	Power_per_Duty	Resistance	Conductance	Temp_Diff_Int_Ext	Temp_Diff_H_Ext	Temp_Diff_Int_H	Temp_Ratio_Int_Ext	Thermal_Stress	Heat_Generation	Current_per_Voltage	Voltage_per_Current	Current_x_Temp	Voltage_x_Duty	Power_x_Temp	Current_rolling_mean	Current_rolling_std	Current_rolling_max	Current_rolling_min	Voltage_rolling_mean	Voltage_rolling_std	Voltage_rolling_max	Voltage_rolling_min	Int_Temp_rolling_mean	Int_Temp_rolling_std	Int_Temp_rolling_max	Int_Temp_rolling_min	Ext_Temp_rolling_mean	Ext_Temp_rolling_std	Ext_Temp_rolling_max	Ext_Temp_rolling_min	H_Temp_rolling_mean	H_Temp_rolling_std	H_Temp_rolling_max	H_Temp_rolling_min	Dt_cycle_rolling_mean	Dt_cycle_rolling_std	Dt_cycle_rolling_max	Dt_cycle_rolling_min
0.37	1.74	27.0	26.5	28.5	12.0	1	0	0	0	0	0	0.6438	0.05364999552916704	4.702689992729749	0.21264355595197934	0.5	2.0	-1.5	1.0188678860804572	6.0	0.3219	0.21264355595197934	4.702689992729749	9.99	20.88	18.348300000000002	0.709	0.5436594113556348	1.5	0.35	1.5739999999999998	0.7039286580013314	2.31	0.57	27.6	0.9660917830792995	29.0	27.0	27.1	0.9660917830792995	28.5	26.5	30.8	3.7431418769679285	37.5	28.5	14.7	4.347413023856831	21.0	12.0
0.19	1.66	27.0	26.5	28.5	12.0	1	0	0	0	0	0	0.3154	0.02628333114305574	8.736796122125673	0.11445776237484195	0.5	2.0	-1.5	1.0188678860804572	6.0	0.1577	0.11445776237484195	8.736796122125673	5.13	19.919999999999998	8.988900000000001	0.578	0.4867305894092402	1.5	0.19	1.6809999999999998	0.6132146624325141	2.31	0.57	27.4	0.8432740427115735	29.0	27.0	26.9	0.8432740427115735	28.5	26.5	29.9	2.9514591494904625	35.5	28.5	13.8	3.7947331922020546	21.0	12.0
0.38	1.61	27.0	26.5	28.5	12.0	1	0	0	0	0	0	0.6118	0.05098332908472258	4.236830955708012	0.23602469812130553	0.5	2.0	-1.5	1.0188678860804572	6.0	0.3059	0.23602469812130553	4.236830955708012	10.26	19.32	17.4363	0.4659999999999999	0.3645148983390264	1.49	0.19	1.783	0.4824716456838565	2.31	0.57	27.2	0.6324555320336853	29.0	27.0	26.7	0.6324555320336853	28.5	26.5	29.2	2.2135943621178282	35.5	28.5	12.9	2.846049894151541	21.0	12.0
0.38	1.56	27.0	26.5	28.5	12.0	1	0	0	0	0	0	0.5928	0.04939999588333368	4.105252354599068	0.24358958744257217	0.5	2.0	-1.5	1.0188678860804572	6.0	0.2964	0.24358958744257217	4.105252354599068	10.26	18.72	16.8948	0.35500000000000004	0.05911382616989065	0.39	0.19	1.8820000000000001	0.2528416280775155	2.31	1.56	27.0	0.0	27.0	27.0	26.5	0.0	26.5	26.5	28.5	0.0	28.5	28.5	12.0	0.0	12.0	12.0
0.37	1.5	27.0	26.5	28.5	12.0	1	0	0	0	0	0	0.5549999999999999	0.04624999614583365	4.054043097180819	0.24666650222233186	0.5	2.0	-1.5	1.0188678860804572	6.0	0.27749999999999997	0.24666650222233186	4.054043097180819	9.99	18.0	15.817499999999999	0.35300000000000004	0.05812821078347839	0.38	0.19	1.8010000000000002	0.22912636009173776	2.19	1.5	27.0	0.0	27.0	27.0	26.5	0.0	26.5	26.5	28.5	0.0	28.5	28.5	12.0	0.0	12.0	12.0
0.34	1.46	27.0	26.5	28.5	12.0	1	0	0	0	0	0	0.4964	0.04136666321944474	4.294105017338184	0.2328765528242789	0.5	2.0	-1.5	1.0188678860804572	6.0	0.2482	0.2328765528242789	4.294105017338184	9.180000000000001	17.52	14.147400000000001	0.35	0.057927157323272464	0.38	0.19	1.7279999999999998	0.2066021404643337	2.07	1.46	27.0	0.0	27.0	27.0	26.5	0.0	26.5	26.5	28.5	0.0	28.5	28.5	12.0	0.0	12.0	12.0
0.37	1.41	27.0	26.5	29.0	12.0	1	0	0	0	0	0	0.5216999999999999	0.04347499637708363	3.8108005113499694	0.26241116141052384	0.5	2.5	-2.0	1.0188678860804572	6.0	0.26084999999999997	0.26241116141052384	3.8108005113499694	9.99	16.919999999999998	15.129299999999999	0.35100000000000003	0.05820461990063488	0.38	0.19	1.6620000000000001	0.18995905991672077	1.98	1.41	27.0	0.0	27.0	27.0	26.5	0.0	26.5	26.5	28.55	0.15811388300841883	29.0	28.5	12.0	0.0	12.0	12.0
0.37	1.37	27.0	26.5	28.5	12.0	1	0	0	0	0	0	0.5069	0.04224166314652807	3.702692695425148	0.2700727955673025	0.5	2.0	-1.5	1.0188678860804572	6.0	0.25345	0.2700727955673025	3.702692695425148	9.99	16.44	14.44665	0.35300000000000004	0.05850925852660361	0.38	0.19	1.6010000000000002	0.1737463029183	1.89	1.37	27.0	0.0	27.0	27.0	26.5	0.0	26.5	26.5	28.55	0.15811388300841883	29.0	28.5	12.0	0.0	12.0	12.0
0.36	1.34	27.0	26.5	29.0	12.0	1	0	0	0	0	0	0.4824	0.040199996650000284	3.7222118827447708	0.2686565159279732	0.5	2.5	-2.0	1.0188678860804572	6.0	0.2412	0.2686565159279732	3.7222118827447708	9.719999999999999	16.080000000000002	13.9896	0.35100000000000003	0.05782156460467787	0.38	0.19	1.5459999999999998	0.15847888047167508	1.81	1.34	27.0	0.0	27.0	27.0	26.5	0.0	26.5	26.5	28.6	0.2108185106778915	29.0	28.5	12.0	0.0	12.0	12.0
0.36	1.32	27.0	26.5	28.5	12.0	1	0	0	0	0	0	0.4752	0.03959999670000028	3.666656481509774	0.272727066115859	0.5	2.0	-1.5	1.0188678860804572	6.0	0.2376	0.272727066115859	3.666656481509774	9.719999999999999	15.84	13.5432	0.349	0.05704773829385393	0.38	0.19	1.497	0.14275464576989724	1.74	1.32	27.0	0.0	27.0	27.0	26.5	0.0	26.5	26.5	28.6	0.2108185106778915	29.0	28.5	12.0	0.0	12.0	12.0
0.4	1.31	27.0	26.5	28.5	13.0	1	0	0	0	0	0	0.524	0.04030768920710084	3.2749918125204687	0.3053432783639097	0.5	2.0	-1.5	1.0188678860804572	6.5	0.262	0.3053432783639097	3.2749918125204687	10.8	17.03	14.934000000000001	0.352	0.05902918298980639	0.4	0.19	1.4540000000000002	0.12509551905999222	1.66	1.31	27.0	0.0	27.0	27.0	26.5	0.0	26.5	26.5	28.6	0.2108185106778915	29.0	28.5	12.1	0.316227766016838	13.0	12.0
0.39	1.3	27.0	26.5	28.5	17.0	1	0	0	0	0	0	0.507	0.02982352765743955	3.3333247863467017	0.2999997692309468	0.5	2.0	-1.5	1.0188678860804572	8.5	0.2535	0.2999997692309468	3.3333247863467017	10.530000000000001	22.1	14.4495	0.372	0.0168654808542198	0.4	0.34	1.418	0.11013123484683589	1.61	1.3	27.0	0.0	27.0	27.0	26.5	0.0	26.5	26.5	28.6	0.2108185106778915	29.0	28.5	12.6	1.577621275493231	17.0	12.0
0.41	1.38	27.0	26.5	28.5	21.0	1	0	0	0	0	0	0.5658	0.026942855859864005	3.365845449157441	0.2971012339846131	0.5	2.0	-1.5	1.0188678860804572	10.5	0.2829	0.2971012339846131	3.365845449157441	11.069999999999999	28.979999999999997	16.1253	0.375	0.02068278940997536	0.41	0.34	1.395	0.08720983634634119	1.56	1.3	27.0	0.0	27.0	27.0	26.5	0.0	26.5	26.5	28.6	0.2108185106778915	29.0	28.5	13.5	3.0641293851417064	21.0	12.0
0.53	1.68	27.0	26.5	29.0	26.0	1	0	0	0	0	0	0.8904	0.03424615252899413	3.169805339989924	0.3154760026928556	0.5	2.5	-2.0	1.0188678860804572	13.0	0.4452	0.3154760026928556	3.169805339989924	14.31	43.68	25.8216	0.39	0.05333333333332974	0.53	0.34	1.407	0.11595497210363853	1.68	1.3	27.0	0.0	27.0	27.0	26.5	0.0	26.5	26.5	28.65	0.24152294576982303	29.0	28.5	14.9	4.931756504757938	26.0	12.0
0.69	2.05	27.0	26.5	28.5	30.0	1	0	0	0	0	0	1.4144999999999999	0.04714999842833338	2.971010186941758	0.3365852016657553	0.5	2.0	-1.5	1.0188678860804572	15.0	0.7072499999999999	0.3365852016657553	2.971010186941758	18.63	61.49999999999999	40.31325	0.422	0.10799176923368674	0.69	0.34	1.4620000000000002	0.2346534087163921	2.05	1.3	27.0	0.0	27.0	27.0	26.5	0.0	26.5	26.5	28.65	0.24152294576982303	29.0	28.5	16.7	6.71730766172149	30.0	12.0
0.91	2.66	27.0	26.5	29.0	35.0	1	0	0	0	0	0	2.4206000000000003	0.06915999802400007	2.92307371090801	0.34210513454694186	0.5	2.5	-2.0	1.0188678860804572	17.5	1.2103000000000002	0.34210513454694186	2.92307371090801	24.57	93.10000000000001	70.19740000000002	0.479	0.18375406269129183	0.91	0.36	1.582	0.4455658075850173	2.66	1.3	27.0	0.0	27.0	27.0	26.5	0.0	26.5	26.5	28.7	0.2581988897471598	29.0	28.5	19.0	8.602325267042628	35.0	12.0
0.87	3.0	27.0	26.5	29.0	38.0	1	0	0	0	0	0	2.61	0.06868420871883661	3.4482718985380476	0.28999990333336556	0.5	2.5	-2.0	1.0188678860804572	19.0	1.305	0.28999990333336556	3.4482718985380476	23.49	114.0	75.69	0.529	0.21599639914693977	0.91	0.36	1.741	0.6249524426350817	3.0	1.3	27.0	0.0	27.0	27.0	26.5	0.0	26.5	26.5	28.7	0.2581988897471598	29.0	28.5	21.6	10.057611821677925	38.0	12.0
1.19	3.7	27.0	26.5	29.0	38.0	1	0	1	0	0	1	4.403	0.11586841800346268	3.109241084671358	0.3216215346968825	0.5	2.5	-2.0	1.0188678860804572	19.0	2.2015	0.3216215346968825	3.109241084671358	32.129999999999995	140.6	127.68699999999998	0.611	0.2914122700078204	1.19	0.36	1.9739999999999998	0.861022647785759	3.7	1.3	27.0	0.0	27.0	27.0	26.5	0.0	26.5	26.5	28.75	0.2635231383473631	29.0	28.5	24.2	10.643725329455327	38.0	12.0
1.15	4.24	27.0	26.5	29.0	38.0	1	0	1	0	0	1	4.8759999999999994	0.128315786096953	3.6869533156927696	0.2712263511258605	0.5	2.5	-2.0	1.0188678860804572	19.0	2.4379999999999997	0.2712263511258605	3.6869533156927696	31.049999999999997	161.12	141.404	0.6900000000000001	0.32135131346653373	1.19	0.36	2.2640000000000002	1.083412304813925	4.24	1.3	27.0	0.0	27.0	27.0	26.5	0.0	26.5	26.5	28.75	0.2635231383473631	29.0	28.5	26.8	10.507140429250958	38.0	12.0
1.13	4.52	27.0	26.5	29.0	38.0	1	0	1	0	0	1	5.107599999999999	0.13441052277867044	3.999996460180124	0.24999994469027773	0.5	2.5	-2.0	1.0188678860804572	19.0	2.5537999999999994	0.24999994469027773	3.999996460180124	30.509999999999998	171.76	148.12039999999996	0.767	0.32571459899734273	1.19	0.39	2.5839999999999996	1.235513388569032	4.52	1.3	27.0	0.0	27.0	27.0	26.5	0.0	26.5	26.5	28.8	0.2581988897471584	29.0	28.5	29.4	9.617114374327096	38.0	13.0
1.11	4.67	27.0	26.5	29.0	38.0	1	0	1	0	0	1	5.1837	0.136413154304917	4.207203416933859	0.2376873152703822	0.5	2.5	-2.0	1.0188678860804572	19.0	2.59185	0.2376873152703822	4.207203416933859	29.970000000000002	177.46	150.3273	0.8379999999999999	0.3139992922851187	1.19	0.39	2.92	1.305450113945377	4.67	1.3	27.0	0.0	27.0	27.0	26.5	0.0	26.5	26.5	28.85	0.2415229457698199	29.0	28.5	31.9	7.9923574605855645	38.0	17.0
1.08	4.75	27.0	26.5	29.0	38.0	1	0	1	0	0	1	5.130000000000001	0.13499999644736854	4.398144075792523	0.22736837318560565	0.5	2.5	-2.0	1.0188678860804572	19.0	2.5650000000000004	0.22736837318560565	4.398144075792523	29.160000000000004	180.5	148.77	0.907	0.27841016903522425	1.19	0.41	3.2649999999999997	1.2854765653250928	4.75	1.38	27.0	0.0	27.0	27.0	26.5	0.0	26.5	26.5	28.9	0.21081851067788626	29.0	28.5	34.0	6.200358412579421	38.0	21.0
1.07	4.78	27.0	26.5	29.0	38.0	1	0	1	0	0	1	5.1146	0.1345947333001386	4.467285544592949	0.2238493255545344	0.5	2.5	-2.0	1.0188678860804572	19.0	2.5573	0.2238493255545344	4.467285544592949	28.89	181.64000000000001	148.32340000000002	0.9730000000000001	0.21949689949721124	1.19	0.53	3.6049999999999995	1.1765320980652312	4.78	1.68	27.0	0.0	27.0	27.0	26.5	0.0	26.5	26.5	28.95	0.15811388300841064	29.0	28.5	35.7	4.270050741306628	38.0	26.0
